Emp ID,Name Prefix,First Name,Middle Initial,Last Name,Gender,E Mail,Father's Name,Mother's Name,Mother's Maiden Name,Date of Birth,Time of Birth,Age in Yrs.,Weight in Kgs.,Date of Joining,Quarter of Joining,Half of Joining,Year of Joining,Month of Joining,Month Name of Joining,Short Month,Day of Joining,DOW of Joining,Short DOW,Age in Company (Years),Salary,Last % Hike,SSN,Phone No. ,Place Name,County,City,State,Zip,Region,User Name,Password
850297,Ms.,Shawna,W,Buck,F,shawna.buck@gmail.com,Rosario Buck,Keisha Buck,Hendricks,12/12/1971,06:34:47 AM,45.66,44,12/18/2010,Q4,H2,2010,12,December,Dec,18,Saturday,Sat,6.61,119090,17%,222-11-7603,702-771-7149,Las Vegas,Clark,Las Vegas,NV,89128,West,swbuck,ja8?k3BTF^]o@<&
304721,Mr.,Nathaniel,Z,Burke,M,nathaniel.burke@walmart.com,Derrick Burke,Phoebe Burke,Pugh,10/31/1993,02:02:38 AM,18.01,52,4/25/2017,Q2,H1,2017,4,April,Apr,25,Tuesday,Tue,0.26,117991,14%,550-99-9897,231-765-6923,Irons,Lake,Irons,MI,49644,Midwest,nzburke,YoungestMale#2026
412317,Drs.,Elisabeth,W,Foster,F,elisabeth.foster@gmail.com,Irwin Foster,Janie Foster,Delaney,11/26/1994,03:48:27 PM,22.68,42,3/27/2017,Q1,H1,2017,3,March,Mar,27,Monday,Mon,0.34,161045,28%,215-91-0004,270-749-4774,Lexington,Fayette,Lexington,KY,40501,South,ewfoster,5D.B4IGNkWJfG<~
621375,Mrs.,Briana,C,Lancaster,F,briana.lancaster@yahoo.com,Jeffrey Lancaster,Shelby Lancaster,Weiss,11/24/1975,09:44:16 PM,41.7,43,2/25/2003,Q1,H1,2003,2,February,Feb,25,Tuesday,Tue,14.43,142616,16%,534-71-1053,219-623-8216,Munster,Lake,Munster,IN,46321,Midwest,bclancaster,I%?JDM;pW
787549,Hon.,Estella,L,Potter,F,estella.potter@gmail.com,Booker Potter,Katelyn Potter,Pate,3/13/1995,09:30:28 PM,22.39,58,10/11/2016,Q4,H2,2016,10,October,Oct,11,Tuesday,Tue,0.79,135706,11%,644-29-6396,907-677-8486,Fairbanks,Fairbanks North Star,Fairbanks,AK,99709,West,elpotter,j4jkEXfC&Rh
900006,Mr.,Shawna,G,Miller,F,shawna.miller6@walmart.com,Father Miller,Mother Miller,Maiden6,02/23/1990,06:54:03 AM,36.48,79,11/4/2013,Q4,H2,2013,11,November,Nov,4,Monday,Mon,12.78,111211,10%,238-53-6468,918-451-3683,San Diego,San Diego,San Diego,CA,92101,West,smiller6,Pw6!xA9#
900007,Dr.,Nathaniel,H,Moore,M,nathaniel.moore7@gmail.com,Father Moore,Mother Moore,Maiden7,09/13/1971,01:05:42 AM,54.93,73,11/1/2007,Q4,H2,2007,11,November,Nov,1,Thursday,Thu,18.79,161993,9%,229-12-5780,640-787-8813,Los Angeles,Los Angeles,Los Angeles,CA,90001,West,nmoore7,Pw7!xA9#
900008,Dr.,Sarah,I,Taylor,F,sarah.taylor8@gmail.com,Father Taylor,Mother Taylor,Maiden8,03/25/1972,01:25:57 AM,54.4,83,11/17/2015,Q4,H2,2015,11,November,Nov,17,Tuesday,Tue,10.75,168389,29%,761-75-8116,901-751-8964,New York,New York,New York,NY,10001,Northeast,staylor8,Pw8!xA9#
900009,Ms.,Charles,J,Jackson,M,charles.jackson9@walmart.com,Father Jackson,Mother Jackson,Maiden9,03/17/1985,03:21:21 AM,41.42,76,11/24/2010,Q4,H2,2010,11,November,Nov,24,Wednesday,Wed,15.73,94969,22%,500-19-8483,596-786-6506,Topeka,Shawnee,Topeka,KS,66603,Midwest,cjackson9,Pw9!xA9#
900010,Ms.,Shawna,K,Davis,F,shawna.davis10@gmail.com,Father Davis,Mother Davis,Maiden10,08/08/1973,11:18:31 AM,53.02,79,11/12/2005,Q4,H2,2005,11,November,Nov,12,Saturday,Sat,20.76,126647,29%,745-39-9915,695-381-3519,Philadelphia,Philadelphia,Philadelphia,PA,19103,Northeast,sdavis10,Pw10!xA9#
